price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
221900.0,3,1.0,-0.9798350208148431,5650,1.0,0,0,3,7,-0.7347076376179391,-0.6586810403679764,1955,0,310612.75572519086,-0.35257174794299895,-0.30607895777587113,1340,5650
538000.0,3,2.25,0.5336343403143409,7242,2.0,0,0,3,7,0.4608408351894363,0.2451413974972064,1951,1991,469455.77073170734,1.1615682340369569,-0.7463414313892777,1690,7639
180000.0,2,1.0,-1.4262540410040268,10000,1.0,0,0,3,6,-1.2298337728209936,-0.6586810403679764,1933,0,462480.035335689,1.2835366119944034,-0.13565477444163623,2720,8062
604000.0,4,3.0,-0.13055005557688376,5000,1.0,0,0,5,7,-0.8916988512189076,1.3975150057753145,1965,0,551688.6730038023,-0.28328793561217736,-1.2718159966698017,1360,5000
510000.0,3,2.0,-0.4354215815597409,8080,1.0,0,0,3,8,-0.13089527761421413,-0.6586810403679764,1987,0,685605.775510204,0.40955018769609014,1.1993346616765035,1800,7503
1225000.0,4,4.5,3.636790944068423,101930,1.0,0,0,3,11,2.53795535360225,2.7984397844663476,2001,0,678163.0592592593,0.6931807944254537,1.4833749672335954,4760,101930
257500.0,3,2.25,-0.3973126408118838,6819,2.0,0,0,3,7,-0.08862841241395338,-0.6586810403679764,1995,0,294111.27857142856,-1.806810100511988,-0.8031494925006557,2238,6819
291850.0,3,1.5,-1.1104942462360676,9711,1.0,0,0,3,7,-0.8796226040188331,-0.6586810403679764,1963,0,302878.8821428571,-1.0865471348227287,-0.7179374008335382,1650,9711
229500.0,3,1.0,-0.3265388937087205,7470,1.0,0,0,3,7,-0.8916988512189076,0.9907949087359822,1960,0,359483.2395833333,-0.34463297778008434,-0.8741595688899538,1780,8113
323000.0,3,2.5,-0.20676793707259805,6560,2.0,0,0,3,7,0.12270591358735035,-0.6586810403679764,2003,0,366867.6,-1.3831684563640925,1.2987487686214403,2390,7570
662500.0,3,2.5,1.6115729500394431,9796,1.0,0,0,3,8,0.08647717198712686,3.18256432055905,1965,0,617105.085106383,0.293355460766302,0.48923389778392534,2210,8925
468000.0,2,1.0,-1.0016115583850471,6000,1.0,0,0,4,7,-1.121147548020323,0.019185788030910707,1942,0,619900.5471698113,0.9378392567186628,-0.5546142251382634,1330,6000
310000.0,3,1.0,-0.707628301187292,19901,1.5,0,0,4,7,-0.4328014576160766,-0.6586810403679764,1927,0,462480.035335689,1.412722053736243,-0.1072507438858968,1780,12697
400000.0,3,1.75,-0.7729579138979042,9680,1.0,0,0,4,7,-0.5052589408165236,-0.6586810403679764,1977,0,685605.775510204,0.37996022617979053,1.1993346616765035,1370,10208
530000.0,5,2.0,-0.2938740873534144,4850,1.5,0,0,3,7,0.02609593598675436,-0.6586810403679764,1900,0,579053.4172932331,0.7934979810294638,-1.2789170043087617,1360,4850
650000.0,4,3.0,0.9473885541482184,5000,2.0,0,3,3,9,0.23139213838802083,1.533088371455092,1979,0,424706.3559322034,0.0818954918815379,-1.1439978591691256,2140,4000
395000.0,3,2.0,-0.20676793707259805,14040,2.0,0,0,3,7,0.12270591358735035,-0.6586810403679764,1994,0,424788.74736842106,1.2099225613928637,1.7887182957073655,1890,14018
485000.0,4,1.0,-0.5225277318405573,4300,1.5,0,0,4,7,-0.2275052552148101,-0.6586810403679764,1916,0,584919.2109634551,0.7559692493502496,-0.9167656147235126,1610,4300
